,budget_degrees,budget_relevance,budget_costs,claim
Joseph Fiennes /award/award_nominee/award_nominations./award/award_nomination/award_nominee Ben Affleck,60,0.503335903260444,60,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Geoffrey Rush /award/award_winner/awards_won./award/award_honor/award_winner Ben Affleck,125,0.5035991047065851,125,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/award_nominee Imelda Staunton,138,0.5036385609144314,138,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Ben Affleck /award/award_winner/awards_won./award/award_honor/award_winner Martin Clunes,2,0.5037131818962096,2,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Judi Dench /award/award_nominee/award_nominations./award/award_nomination/award_nominee Ben Affleck,102,0.5041213294275028,102,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Ben Affleck /award/award_winner/awards_won./award/award_honor/award_winner Antony Sher,2,0.5041278854922603,2,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/award_nominee Joseph Fiennes,138,0.5042062005554286,138,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Mark Williams /award/award_nominee/award_nominations./award/award_nomination/award_nominee Ben Affleck,61,0.5044492500821713,61,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/award_nominee Mark Williams,138,0.5044702292479546,138,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Jim Carter /award/award_winner/awards_won./award/award_honor/award_winner Ben Affleck,88,0.5046413995740319,88,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/award_nominee Simon Callow,138,0.5047749021392486,138,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Mark Williams /award/award_winner/awards_won./award/award_honor/award_winner Ben Affleck,61,0.5047952850607471,61,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/award Golden Globe Award for Best Director,11,0.5048118536226215,11,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Gwyneth Paltrow /award/award_winner/awards_won./award/award_honor/award_winner Ben Affleck,124,0.5048161447592272,124,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Simon Callow /award/award_winner/awards_won./award/award_honor/award_winner Ben Affleck,63,0.5048915971280491,63,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/award_nominee Jim Carter,138,0.5050160394090868,138,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Simon Callow /award/award_nominee/award_nominations./award/award_nomination/award_nominee Ben Affleck,63,0.5052239186072461,63,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Geoffrey Rush /award/award_nominee/award_nominations./award/award_nomination/award_nominee Ben Affleck,125,0.5052655180716541,125,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/award_nominee Geoffrey Rush,138,0.5052699283257942,138,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Colin Firth /award/award_winner/awards_won./award/award_honor/award_winner Ben Affleck,128,0.5053319101887999,128,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Ben Affleck /award/award_winner/awards_won./award/award_honor/award_winner Gwyneth Paltrow,2,0.5054056922311347,2,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/award BAFTA Award for Best Actor in a Leading Role,11,0.5056310895347408,11,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Ben Affleck /award/award_winner/awards_won./award/award_honor/award_winner Simon Callow,2,0.5063893893053738,2,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Ben Affleck /award/award_winner/awards_won./award/award_honor/award_winner Colin Firth,2,0.5065029768749455,2,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Shakespeare in Love /award/award_winning_work/awards_won./award/award_honor/award_winner Ben Affleck,127,0.5224866473845737,127,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/award_nominee Kyle Chandler,138,0.49966144566941545,138,Ben Affleck /film/actor/film./film/performance/film Jersey Girl
The Town /award/award_winning_work/awards_won./award/award_honor/award_winner Ben Affleck,47,0.5000206232070806,47,Ben Affleck /film/actor/film./film/performance/film Jersey Girl
Jennifer Lopez /award/award_nominee/award_nominations./award/award_nomination/award_nominee Ben Affleck,86,0.5003900527162861,86,Ben Affleck /film/actor/film./film/performance/film Jersey Girl
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/award_nominee Jennifer Garner,138,0.5004485844362225,138,Ben Affleck /film/actor/film./film/performance/film Jersey Girl
Ben Affleck /celebrities/celebrity/celebrity_friends./celebrities/friendship/friend Barack Obama,46,0.5005851981351978,46,Ben Affleck /film/actor/film./film/performance/film Jersey Girl
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/award_nominee Jennifer Lopez,138,0.5006221529610727,138,Ben Affleck /film/actor/film./film/performance/film Jersey Girl
Jennifer Lopez /award/award_winner/awards_won./award/award_honor/award_winner Ben Affleck,86,0.5007659190862794,86,Ben Affleck /film/actor/film./film/performance/film Jersey Girl
Ben Affleck /award/award_winner/awards_won./award/award_honor/award_winner Rory Cochrane,2,0.5013105839278442,2,Ben Affleck /film/actor/film./film/performance/film Jersey Girl
Ben Affleck /award/award_winner/awards_won./award/award_honor/award_winner Jennifer Lopez,2,0.5014222821974575,2,Ben Affleck /film/actor/film./film/performance/film Jersey Girl
Good Will Hunting /film/film/written_by Ben Affleck,63,0.5019035247391419,63,Ben Affleck /film/actor/film./film/performance/film Jersey Girl
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/award_nominee Liv Tyler,138,0.5033456779857891,138,Ben Affleck /film/actor/film./film/performance/film Jersey Girl
Ben Affleck /base/schemastaging/person_extra/net_worth./measurement_unit/dated_money_value/currency United States dollar,59,0.5056633911311095,59,Ben Affleck /film/actor/film./film/performance/film Jersey Girl
Golden Raspberry Award for Worst Actor /award/award_category/winners./award/award_honor/award_winner Ben Affleck,128,0.5060674549886864,128,Ben Affleck /film/actor/film./film/performance/film Jersey Girl
Gigli /award/award_winning_work/awards_won./award/award_honor/award_winner Ben Affleck,36,0.5063200207058245,36,Ben Affleck /film/actor/film./film/performance/film Jersey Girl
70th Academy Awards /award/award_ceremony/awards_presented./award/award_honor/award_winner Ben Affleck,42,0.506567696460336,42,Ben Affleck /film/actor/film./film/performance/film Jersey Girl
Minnie Driver /award/award_nominee/award_nominations./award/award_nomination/award_nominee Ben Affleck,12,0.5065974936173098,12,Ben Affleck /film/actor/film./film/performance/film Jersey Girl
Golden Raspberry Award for Worst Screen Couple/Ensemble /award/award_category/winners./award/award_honor/award_winner Ben Affleck,51,0.5068200172891635,51,Ben Affleck /film/actor/film./film/performance/film Jersey Girl
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/nominated_for Gigli,3,0.5076075881399056,3,Ben Affleck /film/actor/film./film/performance/film Jersey Girl
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/award Golden Raspberry Award for Worst Screen Couple/Ensemble,11,0.5080250762061568,11,Ben Affleck /film/actor/film./film/performance/film Jersey Girl
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/nominated_for Daredevil,3,0.5103985572552459,3,Ben Affleck /film/actor/film./film/performance/film Jersey Girl
Ben Affleck /people/person/profession television producer,122,0.510939878413243,122,Ben Affleck /film/actor/film./film/performance/film Jersey Girl
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/nominated_for Jersey Girl,3,0.5314354571241773,3,Ben Affleck /film/actor/film./film/performance/film Jersey Girl
Ben Affleck /film/actor/film./film/performance/film Argo,35,1.4945673696342072,35,Ben Affleck /film/actor/film./film/performance/film Jersey Girl
Ben Affleck /film/actor/film./film/performance/film Gigli,35,1.5205417815190012,35,Ben Affleck /film/actor/film./film/performance/film Jersey Girl
Ben Affleck /film/actor/film./film/performance/film Dogma,35,1.5225423242118659,35,Ben Affleck /film/actor/film./film/performance/film Jersey Girl
