,budget_degrees,budget_relevance,budget_costs,claim
Judi Dench /award/award_nominee/award_nominations./award/award_nomination/award_nominee Ben Affleck,130,0.5034535574049608,130,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Martin Clunes /award/award_winner/awards_won./award/award_honor/award_winner Ben Affleck,50,0.5034620208597327,50,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Mark Williams /award/award_nominee/award_nominations./award/award_nomination/award_nominee Ben Affleck,61,0.5035083910202548,61,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Gwyneth Paltrow /award/award_winner/awards_won./award/award_honor/award_winner Ben Affleck,124,0.5035983894879008,124,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Ben Affleck /award/award_winner/awards_won./award/award_honor/award_winner Martin Clunes,22,0.5037348767833447,22,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Ben Affleck /award/award_winner/awards_won./award/award_honor/award_winner Colin Firth,22,0.5037717103781516,22,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Colin Firth /award/award_winner/awards_won./award/award_honor/award_winner Ben Affleck,127,0.5038506223426222,127,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Ben Affleck /award/award_winner/awards_won./award/award_honor/award_winner Antony Sher,22,0.5039000912257949,22,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/award_nominee Jim Carter,40,0.5039022368623804,40,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/award_nominee Antony Sher,40,0.5039465799861854,40,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/award_nominee Colin Firth,40,0.5041578049697357,40,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/award_nominee Gwyneth Paltrow,40,0.50453042506214,40,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Joseph Fiennes /award/award_nominee/award_nominations./award/award_nomination/award_nominee Ben Affleck,60,0.5046237581137087,60,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/award_nominee Joseph Fiennes,40,0.5046510546926966,40,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Simon Callow /award/award_winner/awards_won./award/award_honor/award_winner Ben Affleck,63,0.50488384926468,63,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Joseph Fiennes /award/award_winner/awards_won./award/award_honor/award_winner Ben Affleck,60,0.5048933850961853,60,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Ben Affleck /award/award_winner/awards_won./award/award_honor/award_winner Tom Wilkinson,22,0.5049317667819215,22,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Ben Affleck /award/award_winner/awards_won./award/award_honor/award_winner Judi Dench,22,0.5050998349636915,22,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Simon Callow /award/award_nominee/award_nominations./award/award_nomination/award_nominee Ben Affleck,63,0.5053855482072658,63,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Ben Affleck /award/award_winner/awards_won./award/award_honor/award_winner Simon Callow,22,0.5054272665804285,22,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/award_nominee Simon Callow,40,0.5057935505873932,40,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Ben Affleck /award/award_winner/awards_won./award/award_honor/award_winner Gwyneth Paltrow,22,0.5059979660902668,22,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Shakespeare in Love /award/award_winning_work/awards_won./award/award_honor/award_winner Ben Affleck,127,0.5205739136158642,127,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/award_nominee Kyle Chandler,40,0.4999454021456027,40,Ben Affleck /film/actor/film./film/performance/film Gigli
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/award_nominee Kate Beckinsale,40,0.4999618530274177,40,Ben Affleck /film/actor/film./film/performance/film Gigli
Jennifer Lopez /award/award_winner/awards_won./award/award_honor/award_winner Ben Affleck,96,0.5001444816549141,96,Ben Affleck /film/actor/film./film/performance/film Gigli
Ben Affleck /award/award_winner/awards_won./award/award_honor/award_winner Kyle Chandler,22,0.5001546144436192,22,Ben Affleck /film/actor/film./film/performance/film Gigli
Ben Affleck /award/award_winner/awards_won./award/award_honor/award_winner Rory Cochrane,22,0.5005749461500952,22,Ben Affleck /film/actor/film./film/performance/film Gigli
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/award_nominee Jennifer Garner,40,0.5007271761535658,40,Ben Affleck /film/actor/film./film/performance/film Gigli
Ben Affleck /film/director/film Gone Baby Gone,66,0.5010029064079946,66,Ben Affleck /film/actor/film./film/performance/film Gigli
Las Vegas /base/popstra/location/vacationers./base/popstra/vacation_choice/vacationer Ben Affleck,45,0.501143930346629,45,Ben Affleck /film/actor/film./film/performance/film Gigli
Ben Affleck /celebrities/celebrity/celebrity_friends./celebrities/friendship/friend Barack Obama,92,0.502272113418932,92,Ben Affleck /film/actor/film./film/performance/film Gigli
Ben Affleck /people/person/profession television producer,51,0.5041382559917956,51,Ben Affleck /film/actor/film./film/performance/film Gigli
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/award MTV Movie Award for Best Kiss,11,0.5055384754729212,11,Ben Affleck /film/actor/film./film/performance/film Gigli
Daredevil /award/award_winning_work/awards_won./award/award_honor/award_winner Ben Affleck,42,0.5070734073126973,42,Ben Affleck /film/actor/film./film/performance/film Gigli
Golden Raspberry Award for Worst Actor /award/award_category/winners./award/award_honor/award_winner Ben Affleck,125,0.5081726185853865,125,Ben Affleck /film/actor/film./film/performance/film Gigli
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/award Golden Raspberry Award for Worst Screen Couple/Ensemble,11,0.5087215398040768,11,Ben Affleck /film/actor/film./film/performance/film Gigli
Golden Raspberry Award for Worst Screen Couple/Ensemble /award/award_category/winners./award/award_honor/award_winner Ben Affleck,130,0.5092416012320061,130,Ben Affleck /film/actor/film./film/performance/film Gigli
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/award_nominee Liv Tyler,40,0.5095650208021189,40,Ben Affleck /film/actor/film./film/performance/film Gigli
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/nominated_for Daredevil,24,0.5098289700565649,24,Ben Affleck /film/actor/film./film/performance/film Gigli
