,budget_degrees,budget_relevance,budget_costs,claim
Imelda Staunton /award/award_nominee/award_nominations./award/award_nomination/award_nominee Ben Affleck,77,0.5036386801174079,77,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/award_nominee Antony Sher,67,0.5036552493271017,67,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/award Academy Award for Best Picture,7,0.5037485850839042,7,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Imelda Staunton /award/award_winner/awards_won./award/award_honor/award_winner Ben Affleck,77,0.5038129544195246,77,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Ben Affleck /award/award_winner/awards_won./award/award_honor/award_winner Martin Clunes,79,0.5039161834966792,79,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/award_nominee Mark Williams,67,0.5039674403052544,67,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Ben Affleck /award/award_winner/awards_won./award/award_honor/award_winner Colin Firth,79,0.5040642320038488,79,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/award Golden Globe Award for Best Director,7,0.5041722282928744,7,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Ben Affleck /award/award_winner/awards_won./award/award_honor/award_winner Judi Dench,79,0.5041796187532811,79,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Joseph Fiennes /award/award_nominee/award_nominations./award/award_nomination/award_nominee Ben Affleck,60,0.5042901178368654,60,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Mark Williams /award/award_winner/awards_won./award/award_honor/award_winner Ben Affleck,61,0.5044477004840764,61,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Ben Affleck /base/schemastaging/person_extra/net_worth./measurement_unit/dated_money_value/currency United States dollar,69,0.5044728516425723,69,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Simon Callow /award/award_winner/awards_won./award/award_honor/award_winner Ben Affleck,63,0.5045298290646205,63,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/award_nominee Imelda Staunton,67,0.5046571338397062,67,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
